frame.time_epoch,ip.src,ip.dst,frame.len,tcp.srcport,tcp.dstport
1751013960.262200000,172.16.10.78,224.0.0.251,136,,
1751013960.362425000,,,156,,
1751013968.713422000,172.16.10.60,162.159.192.1,90,61554,443
1751013968.713543000,172.16.10.60,162.159.192.1,66,61554,443
1751013968.831341000,162.159.192.1,172.16.10.60,66,443,61554
1751013968.831617000,172.16.10.60,162.159.192.1,66,61554,443
1751013969.170634000,172.16.10.67,224.0.0.251,81,,
1751013969.170638000,,,101,,
1751013969.171265000,,,195,,
1751013969.171835000,172.16.10.67,224.0.0.251,175,,
1751013969.171838000,172.16.10.67,224.0.0.251,81,,
1751013969.172231000,,,101,,
1751013969.172601000,,,195,,
1751013969.172928000,172.16.10.67,224.0.0.251,175,,
1751013972.755986000,,,74,61555,443
1751013972.767258000,,,86,443,61555
1751013975.620476000,172.16.10.56,224.0.0.251,408,,
1751013975.722136000,,,60,,
1751013975.722743000,,,428,,
1751013976.644049000,,,60,,
1751013977.395886000,,,1288,,
1751013977.395902000,,,623,,
1751013977.404802000,,,87,,
1751013977.405736000,,,91,,
1751013977.408592000,,,335,,
1751013977.411994000,,,174,,
1751013977.415611000,,,1292,,
1751013977.415630000,,,1292,,
1751013977.415696000,,,139,,
1751013977.415774000,,,359,,
1751013977.420750000,,,90,,
1751013977.424028000,,,102,,
1751013977.424029000,,,1292,,
1751013977.434860000,,,1292,,
1751013977.441881000,,,1292,,
1751013977.446700000,,,94,,
1751013977.457986000,,,1292,,
1751013977.465279000,,,1292,,
1751013977.480342000,,,1292,,
1751013977.483328000,,,1292,,
1751013977.483331000,,,473,,
1751013977.483333000,,,881,,
1751013977.483692000,,,140,,
1751013977.483709000,,,93,,
1751013977.484078000,,,267,,
1751013977.484079000,,,86,,
1751013977.487396000,,,1292,,
1751013977.487400000,,,1292,,
1751013977.487577000,,,175,,
1751013977.490179000,,,182,,
1751013977.490250000,,,95,,
1751013977.496749000,,,1151,,
1751013977.497165000,,,178,,
1751013977.497263000,,,97,,
1751013977.529543000,,,86,,
1751013977.530422000,,,1288,,
1751013977.530424000,,,1292,,
1751013977.530426000,,,409,,
1751013977.530428000,,,219,,
1751013977.530613000,,,97,,
1751013977.530635000,,,93,,
1751013977.544013000,,,1287,,
1751013977.545519000,,,1292,,
1751013977.545522000,,,1292,,
1751013977.545524000,,,1292,,
1751013977.545529000,,,1292,,
1751013977.545533000,,,1292,,
1751013977.545536000,,,1292,,
1751013977.545540000,,,1292,,
1751013977.545543000,,,1292,,
1751013977.545546000,,,1292,,
1751013977.545549000,,,1292,,
1751013977.545551000,,,1292,,
1751013977.545554000,,,1292,,
